Gene_ID	Gene_Name	Cross-validated R2	Kernel	Degree	C	Population
ENSG00000152229.14	PSTPIP2	-0.0781606553770546	poly	5	0.5	AFA
ENSG00000119397.12	CNTRL	-0.0781495703325556	sigmoid	2	0.5	AFA
ENSG00000146828.13	SLC12A9	-0.078054567784878	poly	3	0.1	AFA
ENSG00000144504.11	ANKMY1	-0.078005095726981	poly	5	0.01	AFA
ENSG00000125734.9	GPR108	-0.0779933430615972	poly	7	1e-04	AFA
ENSG00000168566.11	SNRNP48	-0.0779358398843954	poly	2	0.1	AFA
ENSG00000135766.8	EGLN1	-0.0778332917437938	rbf	2	0.01	AFA
ENSG00000081041.8	CXCL2	-0.0776651995826609	poly	7	0.01	AFA
ENSG00000185324.17	CDK10	-0.0776173289314341	sigmoid	2	0.05	AFA
ENSG00000071051.9	NCK2	-0.077599254647678	sigmoid	2	0.05	AFA
ENSG00000180263.9	FGD6	-0.0775668132170051	sigmoid	2	1e-04	AFA
ENSG00000113312.6	TTC1	-0.0775392098413659	poly	7	1e-04	AFA
ENSG00000069849.6	ATP1B3	-0.0773954313787583	sigmoid	2	1	AFA
ENSG00000182993.3	C12orf60	-0.0773753272275469	sigmoid	2	0.1	AFA
ENSG00000132965.5	ALOX5AP	-0.077357273257688	rbf	2	0.1	AFA
ENSG00000153574.8	RPIA	-0.077333446976778	poly	7	0.1	AFA
ENSG00000141506.9	PIK3R5	-0.0771863431167892	rbf	2	0.5	AFA
ENSG00000171827.6	ZNF570	-0.0771590682113277	poly	7	0.01	AFA
ENSG00000158792.11	SPATA2L	-0.0769526861577516	sigmoid	2	1e-04	AFA
ENSG00000131845.10	ZNF304	-0.0769278405239797	poly	5	0.05	AFA
ENSG00000122497.13	NBPF14	-0.0768940827072393	sigmoid	2	0.1	AFA
ENSG00000008517.12	IL32	-0.0767561696278295	poly	7	5e-04	AFA
ENSG00000153914.11	SREK1	-0.0765069101959185	rbf	2	0.001	AFA
ENSG00000162927.9	PUS10	-0.0762758387576351	poly	4	0.5	AFA
ENSG00000164818.11	HEATR2	-0.0762635197720657	sigmoid	2	1e-04	AFA
ENSG00000011454.12	RABGAP1	-0.0762499059488659	linear	2	1e-04	AFA
ENSG00000137210.9	TMEM14B	-0.0761966075900123	rbf	2	0.1	AFA
ENSG00000256872.1	NOL12	-0.0760837962409299	poly	7	1e-04	AFA
ENSG00000174886.8	NDUFA11	-0.076024804027342	sigmoid	2	1e-04	AFA
ENSG00000187531.9	SIRT7	-0.0760222039904751	poly	7	0.01	AFA
ENSG00000141101.8	NOB1	-0.0758553963775567	poly	5	0.01	AFA
ENSG00000172795.11	DCP2	-0.0756188562090058	sigmoid	2	1e-04	AFA
ENSG00000173473.6	SMARCC1	-0.0756072235615976	sigmoid	2	1e-04	AFA
ENSG00000147804.5	SLC39A4	-0.0755352494748546	poly	7	0.001	AFA
ENSG00000126432.9	PRDX5	-0.0754561657097828	rbf	2	0.1	AFA
ENSG00000188322.4	SBK1	-0.0753467140459474	sigmoid	2	1e-04	AFA
ENSG00000198734.6	F5	-0.075147328752757	sigmoid	2	0.01	AFA
ENSG00000104671.3	DCTN6	-0.0748393769673354	poly	7	1e-04	AFA
ENSG00000164244.16	PRRC1	-0.0747214748448104	sigmoid	2	0.5	AFA
ENSG00000133111.3	RFXAP	-0.0747186798945979	poly	4	0.01	AFA
ENSG00000187583.5	PLEKHN1	-0.0746720005980236	poly	6	0.005	AFA
ENSG00000231500.2	RPS18	-0.0746718420321983	poly	7	0.005	AFA
ENSG00000008294.16	SPAG9	-0.0745783543118772	sigmoid	2	0.001	AFA
ENSG00000141279.10	NPEPPS	-0.0745773686896694	linear	2	1e-04	AFA
ENSG00000123364.3	HOXC13	-0.074549059419944	poly	7	0.05	AFA
ENSG00000119614.2	VSX2	-0.0745015040986081	sigmoid	2	0.05	AFA
ENSG00000240682.5	ISY1	-0.0744305000856135	poly	7	0.01	AFA
ENSG00000127419.12	TMEM175	-0.0742265720644546	poly	7	0.005	AFA
ENSG00000169704.4	GP9	-0.0741798574425347	sigmoid	2	1e-04	AFA
ENSG00000131771.9	PPP1R1B	-0.074025328091277	poly	6	0.05	AFA
ENSG00000170260.4	ZNF212	-0.0740038121799355	sigmoid	2	1e-04	AFA
ENSG00000113368.7	LMNB1	-0.0738803703825437	sigmoid	2	0.01	AFA
ENSG00000115268.5	RPS15	-0.073847343565705	rbf	2	0.5	AFA
ENSG00000198492.10	YTHDF2	-0.0736859462610811	poly	7	0.05	AFA
ENSG00000160767.16	FAM189B	-0.0736767179812827	poly	7	0.001	AFA
ENSG00000146872.13	TLK2	-0.0735982052988682	poly	7	0.01	AFA
ENSG00000134077.11	THUMPD3	-0.0734171693478158	rbf	2	0.1	AFA
ENSG00000102606.13	ARHGEF7	-0.0734017767897101	poly	7	2	AFA
ENSG00000170631.10	ZNF16	-0.0734017678469648	rbf	2	0.5	AFA
ENSG00000110171.14	TRIM3	-0.0732809115763986	poly	6	0.005	AFA
ENSG00000153130.12	SCOC	-0.0731691167593463	rbf	2	0.01	AFA
ENSG00000090060.13	PAPOLA	-0.0731445602677883	sigmoid	2	1e-04	AFA
ENSG00000111796.3	KLRB1	-0.0730769227588539	poly	2	0.05	AFA
ENSG00000170584.6	NUDCD2	-0.0728760328448847	poly	7	0.5	AFA
ENSG00000177606.5	JUN	-0.0728676747854902	poly	7	0.5	AFA
ENSG00000177192.9	PUS1	-0.0728465195756128	poly	4	0.05	AFA
ENSG00000103042.4	SLC38A7	-0.072667820971726	poly	5	0.5	AFA
ENSG00000120696.8	KBTBD7	-0.0724466774487319	poly	3	0.5	AFA
ENSG00000163083.5	INHBB	-0.0724102083288682	poly	7	0.1	AFA
ENSG00000177600.4	RPLP2	-0.0723545989185106	poly	7	0.1	AFA
ENSG00000186298.7	PPP1CC	-0.072346160435352	rbf	2	0.5	AFA
ENSG00000178149.12	DALRD3	-0.0720142352798121	rbf	2	0.1	AFA
ENSG00000106089.7	STX1A	-0.0718126917804838	poly	6	0.005	AFA
ENSG00000084710.9	EFR3B	-0.0717800119169543	rbf	2	0.01	AFA
ENSG00000111269.2	CREBL2	-0.0717743919080752	poly	7	0.01	AFA
ENSG00000184402.10	SS18L1	-0.0715677032324741	poly	7	0.005	AFA
ENSG00000127922.5	SHFM1	-0.0715516000493454	poly	4	0.5	AFA
ENSG00000072858.6	SIDT1	-0.0714940870293819	sigmoid	2	1e-04	AFA
ENSG00000187959.5	CPSF4L	-0.071483525470637	poly	7	0.001	AFA
ENSG00000122859.4	NEUROG3	-0.0713721078671727	poly	7	2	AFA
ENSG00000198821.6	CD247	-0.0712260361412217	sigmoid	2	0.1	AFA
ENSG00000091542.8	ALKBH5	-0.0711716329536348	sigmoid	2	1	AFA
ENSG00000172575.7	RASGRP1	-0.0711634793734874	sigmoid	2	1e-04	AFA
ENSG00000167395.10	ZNF646	-0.0711484372206595	sigmoid	2	1e-04	AFA
ENSG00000130005.7	GAMT	-0.0711225288597442	sigmoid	2	0.01	AFA
ENSG00000169241.13	SLC50A1	-0.0708586701706075	sigmoid	2	0.05	AFA
ENSG00000144840.4	RABL3	-0.0706819943981244	sigmoid	2	1e-04	AFA
ENSG00000109320.7	NFKB1	-0.0706473759610289	rbf	2	0.1	AFA
ENSG00000129353.10	SLC44A2	-0.0706306338211688	sigmoid	2	0.1	AFA
ENSG00000101417.7	PXMP4	-0.0706189054039186	sigmoid	2	1e-04	AFA
ENSG00000178927.12	C17orf62	-0.0706160230069037	rbf	2	0.05	AFA
ENSG00000177455.7	CD19	-0.0705852130464319	rbf	2	0.01	AFA
ENSG00000175325.2	PROP1	-0.0704714227357724	rbf	2	0.1	AFA
ENSG00000167674.10	HDGFRP2	-0.0704520342540687	sigmoid	2	1e-04	AFA
ENSG00000136770.6	DNAJC1	-0.0704308911545799	sigmoid	2	0.1	AFA
ENSG00000114547.5	ROPN1B	-0.070403938024358	poly	7	0.005	AFA
ENSG00000135074.11	ADAM19	-0.0703373067631943	rbf	2	0.5	AFA
ENSG00000171476.17	HOPX	-0.0703121636665998	sigmoid	2	0.1	AFA
ENSG00000074842.3	C19orf10	-0.0702485456996853	sigmoid	2	1e-04	AFA
ENSG00000134574.7	DDB2	-0.0702395256010369	poly	6	0.1	AFA
ENSG00000127511.5	SIN3B	-0.0701567699811175	sigmoid	2	1e-04	AFA
ENSG00000130489.8	SCO2	-0.0700740644194378	poly	7	0.01	AFA
ENSG00000162086.10	ZNF75A	-0.0700630571548532	linear	2	1e-04	AFA
ENSG00000065613.9	SLK	-0.0698495965767214	rbf	2	0.1	AFA
ENSG00000170923.2	OR7G2	-0.0697747167226276	poly	7	0.005	AFA
ENSG00000104221.8	BRF2	-0.0697584606029669	sigmoid	2	0.005	AFA
ENSG00000108272.9	DHRS11	-0.069624560264433	rbf	2	0.1	AFA
ENSG00000159352.11	PSMD4	-0.0695501307239405	sigmoid	2	1e-04	AFA
ENSG00000137404.10	NRM	-0.0694523965049114	poly	7	0.005	AFA
ENSG00000179598.5	PLD6	-0.0694400856156756	poly	7	1	AFA
ENSG00000099795.2	NDUFB7	-0.0692526525214713	sigmoid	2	1e-04	AFA
ENSG00000070371.11	CLTCL1	-0.069210469136457	rbf	2	0.005	AFA
ENSG00000144959.5	NCEH1	-0.0689788412347684	poly	7	0.1	AFA
ENSG00000152422.11	XRCC4	-0.0689618957241839	sigmoid	2	1e-04	AFA
ENSG00000258659.2	TRIM34	-0.0687958118296914	sigmoid	2	1e-04	AFA
ENSG00000178726.6	THBD	-0.068751739940234	rbf	2	0.5	AFA
ENSG00000163235.11	TGFA	-0.0687455203957708	poly	7	1e-04	AFA
ENSG00000047056.10	WDR37	-0.0687227070114442	poly	7	0.1	AFA
ENSG00000124391.4	IL17C	-0.068688637934593	sigmoid	2	1e-04	AFA
ENSG00000213347.6	MXD3	-0.0686609664000091	sigmoid	2	1e-04	AFA
ENSG00000007038.6	PRSS21	-0.0685900598184049	sigmoid	2	1e-04	AFA
ENSG00000141720.7	PIP4K2B	-0.0685272308503985	poly	7	0.1	AFA
ENSG00000115504.10	EHBP1	-0.0684097910359055	sigmoid	2	1e-04	AFA
ENSG00000185019.12	UBOX5	-0.06840234785533	poly	2	0.005	AFA
ENSG00000149658.13	YTHDF1	-0.0683409464540409	sigmoid	2	0.1	AFA
ENSG00000063244.8	U2AF2	-0.0682528207528057	sigmoid	2	0.05	AFA
ENSG00000141469.12	SLC14A1	-0.0680282409448318	poly	7	0.5	AFA
ENSG00000110801.8	PSMD9	-0.06789218714541	poly	6	0.1	AFA
ENSG00000188676.9	IDO2	-0.0678188388754114	sigmoid	2	0.1	AFA
ENSG00000229183.4	PGA4	-0.067790767551187	poly	7	1	AFA
ENSG00000182473.16	EXOC7	-0.0677658516100326	linear	2	1e-04	AFA
ENSG00000198812.3	LRRC10	-0.0677406324069495	poly	7	0.5	AFA
ENSG00000100906.6	NFKBIA	-0.0677331659432547	poly	7	2	AFA
ENSG00000011275.14	RNF216	-0.0676953847211236	poly	7	0.05	AFA
ENSG00000123689.5	G0S2	-0.0676788917332481	rbf	2	0.5	AFA
ENSG00000167618.5	LAIR2	-0.067427903029962	poly	5	5e-04	AFA
ENSG00000238227.3	C9orf69	-0.0673632795263879	poly	7	0.1	AFA
ENSG00000188938.11	FAM120AOS	-0.0673632082301023	poly	5	0.5	AFA
ENSG00000104142.6	VPS18	-0.067333188241578	poly	7	1e-04	AFA
ENSG00000173826.10	KCNH6	-0.0673178463648563	sigmoid	2	0.1	AFA
ENSG00000158186.8	MRAS	-0.0672798169884813	poly	7	0.001	AFA
ENSG00000170315.9	UBB	-0.0672369127039492	poly	6	0.01	AFA
ENSG00000004059.6	ARF5	-0.0671969005483948	sigmoid	2	1e-04	AFA
ENSG00000172053.10	QARS	-0.067134228224101	poly	7	0.001	AFA
ENSG00000109118.9	PHF12	-0.0670201174532114	sigmoid	2	1e-04	AFA
ENSG00000026652.9	AGPAT4	-0.0670021938691162	sigmoid	2	0.5	AFA
ENSG00000102890.10	ELMO3	-0.0669739213577321	rbf	2	0.5	AFA
ENSG00000142178.7	SIK1	-0.0669535275201271	sigmoid	2	0.1	AFA
ENSG00000140853.11	NLRC5	-0.0669379356548012	rbf	2	0.1	AFA
ENSG00000137878.12	GCOM1	-0.0669208255150209	poly	7	0.01	AFA
ENSG00000141314.8	RHBDL3	-0.0668636748059131	poly	6	1	AFA
ENSG00000120129.5	DUSP1	-0.06685136822126	poly	7	0.1	AFA
ENSG00000103253.13	HAGHL	-0.0668451965460461	rbf	2	0.05	AFA
ENSG00000116918.9	TSNAX	-0.0668167081064024	poly	7	0.05	AFA
ENSG00000143458.7	GABPB2	-0.0667356428785261	poly	7	0.1	AFA
ENSG00000241697.3	TMEFF1	-0.0667073782931871	sigmoid	2	0.1	AFA
ENSG00000178951.4	ZBTB7A	-0.0666915575261237	sigmoid	2	1e-04	AFA
ENSG00000145012.8	LPP	-0.0665598161775772	sigmoid	2	1	AFA
ENSG00000185507.15	IRF7	-0.0665165984334549	poly	2	0.05	AFA
ENSG00000124299.8	PEPD	-0.066504493431373	poly	7	0.005	AFA
ENSG00000157954.10	WIPI2	-0.0664879090639286	sigmoid	2	1	AFA
ENSG00000108187.10	PBLD	-0.0664306382745068	poly	6	1	AFA
ENSG00000183087.9	GAS6	-0.0664088934003078	rbf	2	0.5	AFA
ENSG00000080511.2	RDH8	-0.0662938962899348	poly	7	0.005	AFA
ENSG00000188747.4	NOXA1	-0.0662784943255332	poly	6	0.1	AFA
ENSG00000137103.12	TMEM8B	-0.0662480320689012	poly	5	0.05	AFA
ENSG00000142409.4	ZNF787	-0.0662263484334434	sigmoid	2	1.5	AFA
ENSG00000006744.13	ELAC2	-0.0661667313259446	poly	2	0.1	AFA
ENSG00000125633.6	CCDC93	-0.0661600904588357	sigmoid	2	0.1	AFA
ENSG00000165006.9	UBAP1	-0.0661349528343049	poly	7	0.1	AFA
